,STATEFP,COUNTYFP,CensusTract,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,TRACTCE,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,2003_Fast Food Coverage Ratio,2004_Fast Food Coverage Ratio,2005_Fast Food Coverage Ratio,2006_Fast Food Coverage Ratio,2007_Fast Food Coverage Ratio,2008_Fast Food Coverage Ratio,2009_Fast Food Coverage Ratio,2010_Fast Food Coverage Ratio,2011_Fast Food Coverage Ratio,2012_Fast Food Coverage Ratio,2013_Fast Food Coverage Ratio,2014_Fast Food Coverage Ratio,2015_Fast Food Coverage Ratio,2017_Fast Food Coverage Ratio,2003_rank,2004_rank,2005_rank,2006_rank,2007_rank,2008_rank,2009_rank,2010_rank,2011_rank,2012_rank,2013_rank,2014_rank,2015_rank,2017_rank
0,36,47,57800,1400000US36047057800,36047057800,578,CT,172233,0,"POLYGON ((-73.95397799999999 40.601400999999996, -73.953037 40.601506, -73.95183399999999 40.601637, -73.949874 40.601853, -73.94944799999999 40.599598, -73.949047 40.597479, -73.95100599999999 40.597262, -73.952204 40.597131, -73.95315 40.597028, -73.953552 40.599146, -73.95397799999999 40.601400999999996))",36047057800,New York,Kings County,1,3176,1077,0,0,0,0,0,0,0,0,1,21.6,66458,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373,708,418,1951,33,861,0,6,325,390,512,278,0,0,0,3078.6,3106.7,3134.8,0,3191,3191,3191,3478,1739,1739,1739,no rank,no rank,no rank,127,131,123,no rank,108,99,98,86,242,237,233
1,36,47,58900,1400000US36047058900,36047058900,589,CT,424025,38353,"POLYGON ((-73.946046 40.729257, -73.944186 40.729442, -73.94461199999999 40.732071, -73.94036799999999 40.733269, -73.93966 40.731487, -73.937525 40.729814999999995, -73.931825 40.728482, -73.932369 40.728066, -73.934123 40.726855, -73.938189 40.728100000000005, -73.94011499999999 40.727928999999996, -73.941043 40.727841, -73.940738 40.725972999999996, -73.941687 40.725882, -73.942636 40.725792999999996, -73.943569 40.725708, -73.94543 40.725518, -73.94587899999999 40.727354, -73.945741 40.727382, -73.946046 40.729257))",36047058900,New York,Kings County,1,1904,813,0,0,0,0,0,0,0,0,0,6.3,85833,0,0,0,0,0,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,210,200,1748,16,66,2,3,69,122,358,31,880.4,879.2,878,876.8,875.6,874.4,873.2,872,872,872,908.5,908.5,908.5,908.5,249,268,300,323,348,350,350,380,382,386,397,393,402,407
2,36,47,37000,1400000US36047037000,36047037000,370,CT,336242,0,"POLYGON ((-73.96615 40.586669, -73.96564099999999 40.588888, -73.965302 40.590357999999995, -73.96512899999999 40.591108, -73.96068 40.591598, -73.960517 40.589453, -73.96034999999999 40.587306999999996, -73.960261 40.585038999999995, -73.962552 40.584783, -73.963442 40.584675999999995, -73.96661399999999 40.584575, -73.96615 40.586669))",36047037000,New York,Kings County,1,4085,1566,0,0,0,0,0,0,0,0,0,15.6,82465,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,802,623,3017,17,804,0,23,224,242,396,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no rank,no rank,no rank,no rank,no rank,no rank,no rank,no rank,no rank,no rank,no rank,no rank,no rank,no rank
3,36,47,19900,1400000US36047019900,36047019900,199,CT,188914,0,"POLYGON ((-73.96949 40.686288, -73.96749299999999 40.686518, -73.965525 40.686744, -73.965082 40.684546, -73.964779 40.68304, -73.964454 40.681125, -73.967477 40.681754, -73.96866399999999 40.682, -73.969062 40.684157, -73.96949 40.686288))",36047019900,New York,Kings County,1,2929,1476,0,58,1.98,0,0,0,0,0,0,12.4,124583,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,370,294,1227,1348,117,0,5,232,327,1036,183,0,0,0,0,0,0,0,1411.5,1411.5,1411.5,1914.5,1914.5,1276.333333,1276.333333,no rank,no rank,no rank,no rank,no rank,no rank,no rank,289,285,291,230,220,330,327
4,36,47,40000,1400000US36047040000,36047040000,400,CT,192000,0,"POLYGON ((-73.980784 40.598447, -73.979858 40.598548, -73.97935199999999 40.598605, -73.978929 40.598653, -73.977933 40.598762, -73.976935 40.59887, -73.97601 40.598979, -73.973755 40.599221, -73.972911 40.599315, -73.97191099999999 40.599423, -73.97148399999999 40.597172, -73.974083 40.596883, -73.975588 40.596719, -73.977507 40.596506, -73.978927 40.596348, -73.980358 40.596191999999995, -73.980784 40.598447))",36047040000,New York,Kings County,1,3069,1104,0,0,0,0,0,0,0,0,1,13.4,53977,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093,585,457,1732,32,942,0,8,355,610,458,283,0,0,0,0,3126.5,3162,3197.5,1077.666667,1077.666667,1077.666667,1114.666667,1114.666667,1114.666667,1672,no rank,no rank,no rank,no rank,128,120,114,350,345,353,354,353,357,248
5,36,47,98200,1400000US36047098200,36047098200,982,CT,345646,0,"POLYGON ((-73.897943 40.650515, -73.895861 40.651880999999996, -73.89761 40.653453999999996, -73.893547 40.655201999999996, -73.89136599999999 40.652364999999996, -73.889994 40.651137999999996, -73.891252 40.650026, -73.892551 40.648911, -73.894679 40.647529999999996, -73.89616199999999 40.646571, -73.897832 40.64807, -73.896345 40.649027, -73.897943 40.650515))",36047098200,New York,Kings County,1,4305,1589,0,0,0,0,0,0,0,0,1,46.8,22055,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,1331,427,351,3363,12,3,56,520,1034,1376,756,0,0,0,0,0,0,4202.7,4165,4165,4165,4535,4535,1511.666667,1511.666667,no rank,no rank,no rank,no rank,no rank,no rank,53,51,40,38,37,36,287,281
6,36,47,82000,1400000US36047082000,36047082000,820,CT,148600,0,"POLYGON ((-73.953048 40.656081, -73.95016 40.656259999999996, -73.95006599999999 40.655423, -73.94993 40.65415, -73.949769 40.652642, -73.949669 40.651697999999996, -73.94957099999999 40.650807, -73.952469 40.65067, -73.952563 40.651545999999996, -73.952664 40.65249, -73.95282399999999 40.653977999999995, -73.95295899999999 40.655249999999995, -73.953048 40.656081))",36047082000,New York,Kings County,1,5281,1906,0,14,0.27,0,0,0,0,0,1,26.8,44286,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2842,1339,465,152,4646,96,2,20,365,552,1474,700,0,0,0,0,0,5097.6,5060.8,1256,1256,1256,831,712.2857143,712.2857143,712.2857143,no rank,no rank,no rank,no rank,no rank,26,22,316,309,316,410,434,442,444
7,36,47,79801,1400000US36047079801,36047079801,798.01,CT,129680,0,"POLYGON ((-73.96077 40.661733999999996, -73.957044 40.661964999999995, -73.956958 40.66118, -73.956875 40.660441999999996, -73.956801 40.659729999999996, -73.95672499999999 40.659017, -73.956649 40.658305999999996, -73.960426 40.658072, -73.960484 40.658409999999996, -73.960622 40.660205, -73.960662 40.660947, -73.96077 40.661733999999996))",36047079801,New York,Kings County,1,3037,1308,0,0,0,0,0,0,0,0,0,8.8,90000,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,492,371,561,2201,77,0,9,189,251,821,114,3520.24,3502.778,3485.315,1733.926,1725.1945,1716.463,3415.463,3398,1699,1132.666667,1007.666667,1007.666667,1007.666667,1007.666667,85,86,98,232,251,248,103,95,244,343,374,372,377,387
8,36,47,19800,1400000US36047019800,36047019800,198,CT,134715,0,"POLYGON ((-74.00921699999999 40.618581999999996, -74.007426 40.620303, -74.005637 40.622023999999996, -74.003436 40.620695999999995, -74.004019 40.620135999999995, -74.00522699999999 40.618973, -74.006434 40.617813999999996, -74.007599 40.616695, -74.0098 40.618024, -74.00921699999999 40.618581999999996))",36047019800,New York,Kings County,1,1702,658,0,0,0,0,0,0,0,0,0,13.9,80625,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,327,271,1251,8,275,0,0,168,260,172,167,871.75,585.3333333,589.5,593.6666667,896.75,903,909.25,915.5,915.5,915.5,930,620,620,620,250,285,318,348,347,349,348,373,373,380,391,454,460,465
9,36,47,36900,1400000US36047036900,36047036900,369,CT,226736,0,"POLYGON ((-73.911664 40.682446, -73.911512 40.683505, -73.909275 40.682235, -73.90885999999999 40.681993999999996, -73.908517 40.681804, -73.907018 40.680948, -73.90549299999999 40.680037, -73.907833 40.678115999999996, -73.90808799999999 40.67619, -73.910926 40.676345, -73.910799 40.678278, -73.911082 40.679514999999995, -73.911225 40.68024, -73.911374 40.68098, -73.911518 40.681712, -73.911664 40.682446))",36047036900,New York,Kings County,1,4923,1738,0,30,0.61,0,0,0,0,0,1,31.2,41694,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3207,1464,349,437,3683,44,2,76,681,1281,1553,727,0,0,4888,4883.2,1626.133333,1624.533333,1217.2,1216,972.8,810.6666667,936.5,936.5,936.5,702.375,no rank,no rank,30,36,263,259,303,326,366,401,388,386,395,447
