Census Tract Area,Status,NTA Name,geometry,Median Family Income,SNAP Benefits %,Education below high school diploma,Pop earning <=40K,Food Index
98200,LILA Zone,Canarsie,"{'type': 'Polygon', 'coordinates': (((-73.897943, 40.650515), (-73.895861, 40.651881), (-73.89761, 40.653454), (-73.893547, 40.655202), (-73.89136599999999, 40.652365), (-73.889994, 40.651138), (-73.891252, 40.650026), (-73.892551, 40.648911), (-73.894679, 40.64753), (-73.89616199999999, 40.646571), (-73.897832, 40.64807), (-73.896345, 40.649027), (-73.897943, 40.650515)),)}",22055,0.475323141,0.313112289,0.680468738,0.102002101
52900,LILA Zone,South Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.958152, 40.708041), (-73.957904, 40.708427), (-73.957362, 40.70823499999999), (-73.95627, 40.70785), (-73.954017, 40.70708), (-73.953378, 40.706857), (-73.95191, 40.70636), (-73.951086, 40.705913), (-73.950237, 40.705473), (-73.95190000000001, 40.704418), (-73.953812, 40.703181), (-73.955074, 40.704312), (-73.95633699999999, 40.705439), (-73.958456, 40.707252), (-73.958152, 40.708041)),)}",32250,0.45847553,0.336394936,0.599241436,0.351436975
36002,LILA Zone,Brighton Beach,"{'type': 'Polygon', 'coordinates': (((-73.963279, 40.577212), (-73.962364, 40.577411), (-73.961441, 40.57761), (-73.959633, 40.577993), (-73.959454, 40.575575), (-73.959414, 40.57515799999999), (-73.961034, 40.575076), (-73.962881, 40.574983), (-73.963279, 40.577212)),)}",36853,0.618279576,0.135467976,0.644578278,0.217680672
25000,LILA Zone,Bensonhurst,"{'type': 'Polygon', 'coordinates': (((-73.99771299999999, 40.62368), (-73.997484, 40.62452), (-73.997241, 40.625289), (-73.997017, 40.626062), (-73.996788, 40.626826), (-73.994649, 40.625698), (-73.994325, 40.625343), (-73.99255, 40.624274), (-73.994293, 40.622597), (-73.99492, 40.621994), (-73.996393, 40.620582), (-73.998295, 40.621619), (-73.99771299999999, 40.62368)),)}",54006,0.187732339,0.46968472,0.245989308,0.333806723
23600,LILA Zone,Borough Park,"{'type': 'Polygon', 'coordinates': (((-73.993284, 40.633906), (-73.9927, 40.634467), (-73.99212, 40.635026), (-73.987713, 40.632366), (-73.985509, 40.631038), (-73.98667499999999, 40.629916), (-73.987259, 40.629355), (-73.989462, 40.630686), (-73.991664, 40.632016), (-73.993866, 40.633347), (-73.993284, 40.633906)),)}",28375,0.542940319,0.229690522,0.637126863,0.295344538
35601,LILA Zone,Coney Island-Sea Gate,"{'type': 'Polygon', 'coordinates': (((-73.97113399999999, 40.582019), (-73.96733499999999, 40.581515), (-73.967602, 40.580362), (-73.969133, 40.580048), (-73.971058, 40.579781), (-73.971834, 40.579805), (-73.97113399999999, 40.582019)),)}",60000,0.458333343,0.035789475,0.488428742,0.227571429
27600,LILA Zone,Bensonhurst,"{'type': 'Polygon', 'coordinates': (((-74.001302, 40.611068), (-74.00107299999999, 40.61183), (-74.000911, 40.612388), (-74.000739, 40.612555), (-73.99958, 40.613669), (-73.997171, 40.612215), (-73.998313, 40.611084), (-73.996338, 40.609894), (-73.996922, 40.609335), (-73.997503, 40.608775), (-73.999454, 40.60995), (-74.00002099999999, 40.609386), (-74.000935, 40.608637), (-74.002665, 40.60957), (-74.001302, 40.611068)),)}",54861,0.330298007,0.373110592,0.340239912,0.589957983
25902,LILA Zone,Bedford-Stuyvesant (West),"{'type': 'Polygon', 'coordinates': (((-73.946797, 40.697903), (-73.943949, 40.698222), (-73.94352599999999, 40.696031), (-73.946366, 40.695704), (-73.946638, 40.69718), (-73.946797, 40.697903)),)}",22599,0.664701521,0.378691375,0.795520961,0.062840336
117000,LILA Zone,Cypress Hills,"{'type': 'Polygon', 'coordinates': (((-73.889006, 40.678557), (-73.887304, 40.679097), (-73.884671, 40.67993999999999), (-73.88419499999999, 40.678089), (-73.883226, 40.67637), (-73.88485399999999, 40.676129), (-73.885668, 40.676009), (-73.887371, 40.675756), (-73.888256, 40.675625), (-73.889006, 40.678557)),)}",40833,0.435020506,0.313328147,0.594080329,0.405544118
28501,LILA Zone,Bedford-Stuyvesant (East),"{'type': 'Polygon', 'coordinates': (((-73.944388, 40.700425), (-73.941931, 40.700725), (-73.941149, 40.700281), (-73.938902, 40.699037), (-73.938568, 40.698848), (-73.94115, 40.698541), (-73.943949, 40.698222), (-73.944096, 40.698973), (-73.944388, 40.700425)),)}",87750,0.342105269,0.444055945,0.484848499,0.242254202
