MEDFAMINC16_20,MEDFAMINC_NHWHITE16_20,MEDFAMINC_BLACK16_20,MEDFAMINC_HISPANIC16_20
60446.0,144167.0,50883.0,48719.0
47135.0,21889.0,130045.0,46875.0
139886.0,203889.0,101415.0,139091.0
141406.0,250001.0,109205.0,41250.0
219097.0,193929.0,82841.0,157778.0
102500.0,143750.0,48611.0,75000.0
91016.0,120083.0,67857.0,90234.0
82614.0,71172.0,73571.0,96198.0
32038.0,153529.0,40938.0,30250.0
157708.0,168403.0,66480.0,45234.0
124620.0,131696.0,150192.0,124185.0
40230.0,234107.0,37551.0,55486.0
137373.0,194773.0,85292.0,135551.0
177000.0,223625.0,117656.0,89583.0
161250.0,177000.0,81550.0,210000.0
92500.0,182841.0,66917.0,55000.0
89828.0,212500.0,70250.0,88060.0
98068.0,121250.0,105333.0,52589.0
117885.0,145000.0,108693.0,66467.0
65612.0,221295.0,43909.0,63550.0
78472.0,37240.0,101595.0,87500.0
62920.0,102250.0,47917.0,74543.0
111518.0,159044.0,89177.0,2499.0
29771.0,110000.0,30500.0,27611.0
84741.0,250001.0,83986.0,123484.0
64705.0,138295.0,62909.0,138125.0
63125.0,85385.0,28792.0,28083.0
42718.0,43703.0,42482.0,19028.0
93788.0,166625.0,62411.0,155435.0
103056.0,141359.0,71278.0,250001.0
65705.0,164891.0,53913.0,66592.0
93580.0,125625.0,78846.0,131146.0
29831.0,16689.0,45893.0,26250.0
32349.0,30788.0,51788.0,19727.0
87083.0,94028.0,95724.0,48389.0
66500.0,139167.0,65500.0,58902.0
27199.0,28864.0,26100.0,47950.0
33408.0,22260.0,34237.0,33941.0
47200.0,62778.0,122353.0,35550.0
75227.0,136193.0,69239.0,46613.0
68627.0,39868.0,69806.0,73813.0
43081.0,181250.0,42764.0,40368.0
80144.0,157266.0,81250.0,73207.0
54896.0,187750.0,49194.0,60323.0
73750.0,178889.0,53375.0,105682.0
49707.0,199875.0,48644.0,29095.0
105993.0,241161.0,92917.0,82727.0
72955.0,131406.0,69545.0,61354.0
58269.0,73333.0,58750.0,60057.0
70504.0,102159.0,61635.0,53922.0
53375.0,76518.0,69375.0,25302.0
92522.0,130234.0,133269.0,50341.0
80743.0,127955.0,80932.0,58362.0
51023.0,88657.0,20433.0,44157.0
71825.0,80152.0,73526.0,51250.0
61875.0,49063.0,88750.0,155111.0
57335.0,70160.0,94125.0,56733.0
35880.0,31322.0,42625.0,36875.0
37277.0,143311.0,12228.0,31815.0
146836.0,186021.0,62292.0,145664.0
58544.0,133688.0,53845.0,57899.0
93400.0,190355.0,62625.0,65507.0
47766.0,150764.0,48603.0,40505.0
62578.0,68426.0,63100.0,41136.0
66369.0,154091.0,53219.0,49375.0
106486.0,178906.0,104500.0,39271.0
69932.0,213676.0,53750.0,56471.0
37000.0,37467.0,18362.0,45268.0
71910.0,122279.0,68931.0,53295.0
100278.0,109167.0,83056.0,123250.0
33723.0,22642.0,40265.0,24604.0
118333.0,119279.0,112159.0,101010.0
76183.0,76849.0,75313.0,69529.0
97941.0,144583.0,91250.0,114531.0
119363.0,73958.0,119828.0,183750.0
115491.0,53750.0,125329.0,87050.0
139276.0,94125.0,137763.0,143984.0
101563.0,93026.0,134808.0,175556.0
68325.0,68750.0,60043.0,69634.0
142734.0,153102.0,196250.0,100625.0
103500.0,110556.0,85278.0,51938.0
62305.0,78942.0,84875.0,61033.0
73549.0,151157.0,66250.0,74310.0
84674.0,102500.0,82105.0,107721.0
71667.0,150625.0,68520.0,34034.0
67308.0,173359.0,72000.0,50000.0
71531.0,76597.0,71557.0,70042.0
74808.0,116500.0,70179.0,155158.0
66667.0,230938.0,65660.0,62644.0
116862.0,98542.0,116995.0,126964.0
58919.0,35417.0,57647.0,59875.0
82955.0,65750.0,82727.0,92438.0
